Latitude,Longitude,Comentários
-23.2546816,-45.9174212,08/04/2016 de madrugada
-23.1792126,-45.8863922,17/04/2016 pela manhã
-23.1810039,-45.87275899999999,17/04/2016 a tarde
-23.1932471,-45.8756368,17/04/2016 pela manhã
-23.2527639,-45.9070827,08/04/2016 a noite
-23.6193025,-45.4001556,30/04/2016 em hora incerta
-23.2416647,-45.9356842,09/04/2016 de madrugada
-23.2441903,-45.8945804,10/04/2016 a noite
-23.2378529,-45.9152291,10/04/2016 de madrugada
-23.1597643,-45.8964831,18/04/2016 a noite
-23.2581426,-45.8854723,19/04/2016 de madrugada
-23.2448747,-45.8956049,10/04/2016 pela manhã
-23.2644253,-45.9092316,10/04/2016 pela manhã
-23.1837645,-45.8829031,19/04/2016 pela manhã
-23.2137554,-45.8924758,10/04/2016 a tarde
-23.184002,-45.8853993,20/04/2016 pela manhã
-23.2436947,-45.88850920000001,11/04/2016 pela manhã
-23.2436947,-45.88850920000001,11/04/2016 pela manhã
-23.2779182,-45.8889519,11/04/2016 pela manhã
-23.2336395,-45.8812056,11/04/2016 de madrugada
-23.1842006,-45.87278540000001,21/04/2016 de madrugada
-23.186075,-45.8874165,21/04/2016 a noite
-23.186075,-45.8874165,21/04/2016 a noite
-23.2332633,-45.9032449,11/04/2016 a noite
-23.1638422,-45.8924145,21/04/2016 pela manhã
-23.1921045,-45.8900577,21/04/2016 pela manhã
-23.2601438,-45.9009688,12/04/2016 a noite
-23.2053627,-45.8868285,22/04/2016 a tarde
-23.1756763,-45.85109509999999,22/04/2016 a noite
-23.2829916,-45.8973111,13/04/2016 a noite
-23.226347,-45.9020834,14/04/2016 pela manhã
-23.1618742,-45.8997466,24/04/2016 a noite
-23.246961,-45.915074,14/04/2016 a noite
-23.2450152,-45.894119,15/04/2016 de madrugada
-23.2376507,-45.90419,15/04/2016 a tarde
-23.2611334,-45.9002493,15/04/2016 a noite
-23.1801302,-45.88514989999999,15/04/2016 pela manhã
-23.2137554,-45.8924758,15/04/2016 pela manhã
-23.2606571,-45.9131688,15/04/2016 a noite
-23.2325422,-45.89009,15/04/2016 a noite
-23.2386321,-45.905777,16/04/2016 em hora incerta
-23.2248959,-45.9022631,16/04/2016 em hora incerta
-23.2541868,-45.9310973,16/04/2016 a noite
-23.2677156,-45.8680142,16/04/2016 a tarde
-23.1977428,-45.8914701,26/04/2016 pela manhã
-23.2018022,-45.88458749999999,26/04/2016 a tarde
-23.1981311,-45.88353439999999,17/04/2016 a noite
-23.1627966,-45.91704050000001,26/04/2016 a tarde
-23.188688,-45.8768,26/04/2016 a noite
-23.2047652,-45.9061576,26/04/2016 a noite
-23.201855,-45.8916236,26/04/2016 em hora incerta
-23.1963647,-45.8883313,26/04/2016 a noite
-23.2218634,-45.9065898,27/04/2016 a tarde
-23.1954149,-45.8967557,28/04/2016 pela manhã
-23.2171368,-45.9102888,28/04/2016 em hora incerta
-23.2270164,-45.9010233,19/04/2016 a noite
-23.2270164,-45.9010233,19/04/2016 a noite
-23.1933713,-45.8901531,29/04/2016 a noite
-23.2512004,-45.8889334,19/04/2016 a noite
-23.1606679,-45.8969364,29/04/2016 a tarde
-23.232802,-45.8940797,20/04/2016 de madrugada
-23.1872972,-45.88185850000001,29/04/2016 pela manhã
-23.1631697,-45.9001266,30/04/2016 de madrugada
-23.2320396,-45.8801293,20/04/2016 a noite
-23.2245744,-45.921373,30/04/2016 a tarde
-23.2478368,-45.8863786,21/04/2016 a noite
-23.2392974,-45.898204,21/04/2016 a noite
-23.2279459,-45.8905498,22/04/2016 a tarde
-23.2352807,-45.9037089,22/04/2016 a noite
-23.2441754,-45.901806,23/04/2016 a noite
-23.2430185,-45.8949086,23/04/2016 de madrugada
-23.2376236,-45.909526,23/04/2016 a tarde
-23.2813149,-45.8961975,24/04/2016 pela manhã
-23.2136155,-45.8548204,24/04/2016 pela manhã
-23.2396616,-45.9109689,25/04/2016 pela manhã
-23.2295404,-45.8998572,26/04/2016 pela manhã
-23.2232866,-45.8846796,26/04/2016 a tarde
-23.2183065,-45.8934451,27/04/2016 a noite
-23.1950341,-45.8991633,27/04/2016 a noite
-23.2280193,-45.9030477,28/04/2016 a tarde
-23.248012,-45.9043255,29/04/2016 a tarde
-23.2180418,-45.7469763,29/04/2016 a noite
-23.2270164,-45.9010233,30/04/2016 a noite
-23.100662,-45.70192309999999,01/04/2016 em hora incerta
-23.2379503,-45.8838425,05/04/2016 em hora incerta
-23.2237576,-45.8885868,07/04/2016 em hora incerta
-23.237563,-45.9127258,12/04/2016 em hora incerta
-23.237563,-45.9127258,12/04/2016 em hora incerta
-23.241279,-45.8992401,23/04/2016 em hora incerta
-23.241279,-45.8992401,23/04/2016 em hora incerta
-23.0264549,-45.54127709999999,31/03/2016 a noite
-22.5736711,-44.9609459,03/04/2016 de madrugada
-22.9230288,-45.45024129999999,04/04/2016 a noite
-22.8419766,-45.2319982,05/04/2016 a noite
-22.7455694,-45.1067725,06/04/2016 pela manhã
-23.2237962,-45.9101623,06/04/2016 pela manhã
-23.2060189,-45.8540259,06/04/2016 a noite
-23.095353,-45.70661150000001,08/04/2016 a noite
-23.1738678,-45.8394651,09/04/2016 de madrugada
-23.1779425,-45.8589425,09/04/2016 de madrugada
-23.2566912,-45.91693129999999,10/04/2016 de madrugada
-23.2584995,-45.9138517,10/04/2016 de madrugada
-23.2792522,-45.8991963,11/04/2016 de madrugada
-23.3004313,-45.9639612,11/04/2016 pela manhã
-23.2187597,-45.8897146,11/04/2016 pela manhã
-23.2981884,-45.9570628,11/04/2016 pela manhã
-23.2208565,-45.90616,12/04/2016 pela manhã
-23.7861237,-45.5942992,12/04/2016 pela manhã
-23.232575,-45.9230416,12/04/2016 a tarde
-23.0980417,-45.7063585,13/04/2016 a noite
-23.1571555,-45.8954969,13/04/2016 a tarde
-23.198421,-45.9033364,13/04/2016 a noite
-23.1766868,-45.8887236,14/04/2016 pela manhã
-23.1642673,-45.8982898,15/04/2016 a noite
-23.2222698,-45.9038505,17/04/2016 a tarde
-23.1989381,-45.893013,17/04/2016 a noite
-23.2145053,-45.9088143,17/04/2016 a tarde
-22.9390381,-45.4814647,19/04/2016 a noite
-23.2774156,-45.89040749999999,19/04/2016 a tarde
-23.0282558,-45.5491855,19/04/2016 pela manhã
-23.1141525,-45.7118974,20/04/2016 pela manhã
-23.1941075,-45.877774,21/04/2016 pela manhã
-23.2557739,-45.9004693,21/04/2016 de madrugada
-23.2178084,-45.305899,21/04/2016 de madrugada
-23.2291442,-45.9216811,21/04/2016 a noite
-23.4347408,-45.0755638,23/04/2016 a noite
-23.0352839,-45.559101,23/04/2016 a noite
-23.1090242,-45.7106167,23/04/2016 pela manhã
-23.439194,-45.0698131,23/04/2016 a noite
-23.2292739,-45.886926,24/04/2016 pela manhã
-23.0080252,-45.5216692,24/04/2016 de madrugada
-23.0638927,-45.7181027,24/04/2016 de madrugada
-23.1099705,-45.7098483,25/04/2016 a noite
-23.0240915,-45.5533987,25/04/2016 a tarde
-23.3025988,-45.9656569,25/04/2016 a noite
-23.2177812,-45.896953,26/04/2016 de madrugada
-23.118529,-45.7201098,26/04/2016 a tarde
-23.0957361,-45.7023269,27/04/2016 de madrugada
-23.1964206,-45.8783227,27/04/2016 a tarde
-23.6975125,-45.4406951,28/04/2016 a noite
-23.2633552,-45.912231,29/04/2016 a noite
-23.250587,-45.89116809999999,30/04/2016 a noite
-23.258073,-45.8834683,30/04/2016 a noite
-23.0877756,-45.1908769,09/04/2016 pela manhã
-22.958585,-45.8370299,29/04/2016 a tarde
-23.3081214,-46.0558031,11/04/2016 pela manhã
-23.3081214,-46.0558031,11/04/2016 pela manhã
-23.3081214,-46.0558031,11/04/2016 pela manhã
-23.1916023,-45.88537849999999,11/04/2016 pela manhã
-23.1916023,-45.88537849999999,11/04/2016 pela manhã
-23.1463357,-45.7804325,19/04/2016 a tarde
-23.0680923,-45.6377193,07/04/2016 a tarde
-23.0680923,-45.6377193,07/04/2016 a tarde
-23.0680923,-45.6377193,07/04/2016 a tarde
-22.7913739,-45.6211972,20/04/2016 a noite
-23.2222127,-45.8983095,18/04/2016 de madrugada
-23.2222127,-45.8983095,19/04/2016 de madrugada
-23.2308474,-45.9166382,11/04/2016 pela manhã
-23.2786376,-45.9800042,28/04/2016 pela manhã
-23.2786376,-45.9800042,28/04/2016 pela manhã
-23.4068289,-45.88785740000001,08/04/2016 a noite
-23.0316199,-45.6205183,14/04/2016 a noite
-22.7946735,-45.18387,13/04/2016 pela manhã
-23.2024992,-45.882107,11/04/2016 pela manhã
-23.4086512,-45.88811889999999,18/04/2016 pela manhã
-23.4086512,-45.88811889999999,18/04/2016 pela manhã
-23.1894642,-45.8773755,12/04/2016 pela manhã
-22.9994121,-45.4983818,04/04/2016 a noite
-23.0346154,-45.6025788,28/04/2016 pela manhã
-22.9277983,-45.3703808,27/04/2016 a noite
-23.1565326,-45.8974105,06/04/2016 a tarde
-22.9398286,-45.4060063,26/04/2016 a noite
-23.1883305,-45.8574666,07/04/2016 de madrugada
-23.1369692,-45.7652513,11/04/2016 a tarde
-23.1369692,-45.7652513,11/04/2016 a tarde
-23.0683191,-45.6381766,07/04/2016 de madrugada
-23.0683191,-45.6381766,07/04/2016 de madrugada
-23.0683191,-45.6381766,07/04/2016 de madrugada
-23.2843337,-45.9704707,01/04/2016 pela manhã
-22.5530219,-44.9239294,05/04/2016 a noite
-22.6162287,-44.9720222,18/04/2016 a noite
-23.0683625,-45.5753396,01/04/2016 a noite
-22.792542,-45.2098199,27/04/2016 a tarde
-23.2928709,-45.9797735,28/04/2016 pela manhã
-22.9668442,-45.5384051,10/04/2016 a noite
-22.9934779,-45.5423641,10/04/2016 de madrugada
-22.9440505,-45.4586973,05/04/2016 de madrugada
-23.0151101,-45.5709771,07/04/2016 pela manhã
-23.0387115,-45.5551793,25/04/2016 pela manhã
-23.2001458,-45.8592343,01/04/2016 a noite
-23.183773,-45.8322844,08/04/2016 a noite
-23.3106364,-45.9513308,25/04/2016 a noite
-23.3106364,-45.9513308,25/04/2016 a noite
-23.2009545,-45.9568576,11/04/2016 pela manhã
-23.244056,-45.8924482,11/04/2016 a noite
-23.255226,-45.9078285,04/04/2016 a noite
-23.255226,-45.9078285,04/04/2016 a noite
-23.3001497,-45.9392169,06/04/2016 pela manhã
-23.0170054,-45.5517613,25/04/2016 de madrugada
-23.8181721,-45.4088027,01/04/2016 de madrugada
-23.3181098,-45.9264175,13/04/2016 de madrugada
-23.217228,-45.7959168,26/04/2016 a noite
-23.217228,-45.7959168,26/04/2016 a noite
-23.2159362,-45.8503695,27/04/2016 a noite
-23.3017906,-45.95906129999999,14/04/2016 a tarde
-23.2089863,-45.7799945,28/04/2016 pela manhã
-23.2061457,-45.8881959,25/04/2016 pela manhã
-23.2955757,-45.9397056,20/04/2016 pela manhã
-22.9407864,-45.4097061,19/04/2016 em hora incerta
-22.9407864,-45.4097061,19/04/2016 em hora incerta
-22.9238952,-45.4434315,20/04/2016 a noite
-22.9238952,-45.4434315,21/04/2016 a noite
-23.2630481,-45.8847508,27/04/2016 pela manhã
-23.2491163,-45.8887755,29/04/2016 a tarde
-23.3681761,-46.0291817,06/04/2016 a noite
-23.3102744,-45.98799959999999,07/04/2016 a noite
-23.2707869,-45.9400241,09/04/2016 pela manhã
-23.205199,-46.1562433,10/04/2016 de madrugada
-23.3207383,-46.0919526,12/04/2016 a noite
-23.3207383,-46.0919526,12/04/2016 a noite
-23.3106364,-45.9513308,13/04/2016 a noite
-23.3039692,-45.9660107,13/04/2016 a noite
-23.4550278,-46.5379673,28/04/2016 a noite
-23.2857444,-45.9607395,16/04/2016 pela manhã
-23.292863,-45.9602786,17/04/2016 de madrugada
-23.2741647,-45.9538696,17/04/2016 a noite
-23.2757303,-45.9520511,17/04/2016 a noite
-23.3059671,-45.9675916,19/04/2016 a noite
-23.2795783,-45.9448873,21/04/2016 pela manhã
-22.838472,-45.2581286,11/04/2016 a noite
-23.3025988,-45.9656569,22/04/2016 pela manhã
-23.2670753,-45.9406494,22/04/2016 pela manhã
-22.8404509,-45.2301127,15/04/2016 a noite
-23.1511883,-45.78306629999999,02/04/2016 a noite
-23.1073803,-45.6979568,05/04/2016 a noite
-23.2799594,-45.9443561,28/04/2016 a noite
-23.2909951,-45.9584441,28/04/2016 a noite
-23.2045707,-46.0145008,28/04/2016 a tarde
-23.2045707,-46.0145008,28/04/2016 a tarde
-23.2045707,-46.0145008,28/04/2016 a tarde
-23.1019883,-45.7085121,05/04/2016 a noite
-23.0324447,-45.6041463,07/04/2016 a noite
-23.0683191,-45.6381766,09/04/2016 de madrugada
-23.0863692,-45.7099796,11/04/2016 a noite
-23.0863692,-45.7099796,11/04/2016 a noite
-23.3084885,-46.0567217,15/04/2016 pela manhã
-23.096062,-45.6984589,19/04/2016 pela manhã
-23.2549034,-45.6924523,20/04/2016 a noite
-23.0976543,-45.6817854,21/04/2016 de madrugada
-23.0484207,-45.5719936,05/04/2016 de madrugada
-23.0465624,-45.5676905,05/04/2016 a noite
-23.1463771,-45.7188889,25/04/2016 pela manhã
-23.0027232,-45.5435117,07/04/2016 de madrugada
-23.0995774,-45.6970921,25/04/2016 a noite
-23.00478,-45.5274661,28/04/2016 a noite
-23.023347,-45.5848433,15/04/2016 de madrugada
-23.034354,-45.5391613,15/04/2016 a noite
-23.0351417,-45.57839209999999,17/04/2016 a tarde
-23.0628743,-45.5740888,20/04/2016 a noite
-23.0262302,-45.543102,21/04/2016 a noite
-23.0366744,-45.5633624,25/04/2016 a noite
-23.0315624,-45.6189926,26/04/2016 a noite
-23.0242766,-45.5845577,26/04/2016 a noite
-23.4336578,-45.0838481,12/04/2016 a noite
-23.1126136,-45.9170626,02/04/2016 a noite
-23.4215905,-45.0630141,17/04/2016 a noite
-23.2025505,-45.88698189999999,05/04/2016 a noite
-23.3990125,-45.03682130000001,19/04/2016 a tarde
-23.1896576,-45.88976479999999,06/04/2016 a noite
-23.4336578,-45.0838481,21/04/2016 de madrugada
-23.2563636,-45.8344026,01/04/2016 a noite
-23.2513242,-45.8963328,01/04/2016 pela manhã
-23.2854185,-45.8914892,01/04/2016 de madrugada
-23.2502237,-45.9090547,02/04/2016 a noite
-23.5204172,-45.2066334,26/04/2016 a noite
-23.2390665,-45.8228622,11/04/2016 a noite
-23.6570427,-46.7763055,02/04/2016 a noite
-23.2292393,-45.9036805,03/04/2016 a tarde
-23.2292393,-45.9036805,03/04/2016 a tarde
-23.2292393,-45.9036805,03/04/2016 a tarde
-23.2292393,-45.9036805,03/04/2016 a tarde
-23.2618294,-45.8857361,04/04/2016 a noite
-23.2226728,-45.8994095,04/04/2016 pela manhã
-23.62909,-45.4153308,24/04/2016 de madrugada
-23.2810225,-45.90192039999999,04/04/2016 pela manhã
-23.151922,-45.7835447,06/04/2016 a tarde
-23.180103,-45.8507042,07/04/2016 de madrugada
-23.1985235,-45.8773345,15/04/2016 pela manhã
-23.2550604,-45.9341261,07/04/2016 pela manhã
-23.1645481,-45.8921347,16/04/2016 de madrugada
-23.2407749,-45.8298271,07/04/2016 a noite
-23.2127658,-45.8122842,09/04/2016 a noite
-23.2809577,-45.902921,10/04/2016 de madrugada
-23.2652758,-45.9052154,13/04/2016 de madrugada
-23.1500592,-45.8978394,23/04/2016 a noite
-23.2541902,-45.9191648,15/04/2016 a tarde
-23.2315445,-45.9253052,15/04/2016 a noite
-23.2450261,-45.90285060000001,16/04/2016 de madrugada
-23.2292393,-45.9036805,25/04/2016 a tarde
-23.2292393,-45.9036805,25/04/2016 a tarde
-23.2292393,-45.9036805,25/04/2016 a tarde
-23.2292393,-45.9036805,25/04/2016 a tarde
-23.196143,-45.89212570000001,25/04/2016 a noite
-23.196143,-45.89212570000001,25/04/2016 a noite
-23.2611334,-45.9002493,16/04/2016 de madrugada
-23.2810063,-45.901287,18/04/2016 de madrugada
-23.2592023,-45.8974091,18/04/2016 pela manhã
-23.2592023,-45.8974091,18/04/2016 pela manhã
-23.2527493,-45.9251332,18/04/2016 pela manhã
-23.1806179,-45.8512336,28/04/2016 a noite
-23.2832541,-45.8979952,19/04/2016 de madrugada
-23.1940257,-45.867951,19/04/2016 a noite
-23.2548838,-45.9246322,20/04/2016 pela manhã
-23.2577107,-45.9105968,20/04/2016 a tarde
-23.2566543,-45.92670649999999,20/04/2016 a noite
-23.1778629,-45.8898299,30/04/2016 a noite
-23.2544508,-45.895414,21/04/2016 a noite
-23.2509599,-45.9093896,22/04/2016 de madrugada
-23.246197,-45.8921802,22/04/2016 de madrugada
-23.2633552,-45.912231,23/04/2016 a tarde
-23.1768898,-45.7975046,25/04/2016 a noite
-23.230817,-45.8802108,25/04/2016 a noite
-23.230817,-45.8802108,25/04/2016 a noite
-23.2516104,-45.9265413,26/04/2016 pela manhã
-23.2507077,-45.92327299999999,29/04/2016 pela manhã
-23.254999,-45.9087121,29/04/2016 pela manhã
-23.1541674,-45.7897214,02/04/2016 de madrugada
-23.1541674,-45.7897214,02/04/2016 de madrugada
-22.5148386,-44.7015422,06/04/2016 a noite
-23.3081214,-46.0558031,09/04/2016 pela manhã
-23.3081214,-46.0558031,09/04/2016 pela manhã
-23.3081214,-46.0558031,09/04/2016 pela manhã
-22.9427384,-45.4157011,20/04/2016 a tarde
-22.9427384,-45.4157011,20/04/2016 a tarde
-23.2164167,-45.8488479,05/04/2016 a noite
-23.0352573,-45.5781809,07/04/2016 de madrugada
-23.2933592,-45.987886,16/05/2016 a noite
-22.6691143,-44.8513169,01/05/2016 de madrugada
-22.6764516,-44.8589591,12/05/2016 a tarde
-22.6436729,-44.5819381,23/05/2016 de madrugada
-23.376241,-45.443494,16/05/2016 a noite
-23.2660565,-45.9609689,12/05/2016 a noite
-22.5802418,-44.959172,02/05/2016 a tarde
-23.574221,-45.32354050000001,03/05/2016 em hora incerta
-22.5676448,-44.9331609,03/05/2016 de madrugada
-22.5837864,-44.9749333,04/05/2016 pela manhã
-23.2081057,-46.1548501,16/05/2016 a noite
-22.5106749,-44.8990246,06/05/2016 de madrugada
-22.6650996,-45.0116583,06/05/2016 de madrugada
-22.5835158,-44.9724649,11/05/2016 pela manhã
-23.2217383,-45.8850486,13/05/2016 de madrugada
-22.6150081,-45.1838324,31/05/2016 de madrugada
-23.0226769,-45.5585768,02/05/2016 a noite
-22.7145749,-45.732125,24/05/2016 de madrugada
-23.0376463,-45.6190737,13/05/2016 de madrugada
-22.9927161,-45.5622562,17/05/2016 de madrugada
-23.1784668,-45.8874323,11/05/2016 pela manhã
-23.2218634,-45.9065898,24/05/2016 pela manhã
-23.182872,-45.87128449999999,12/05/2016 pela manhã
-23.1873801,-45.874363,13/05/2016 a noite
-23.1856322,-45.8717341,13/05/2016 pela manhã
-23.3905441,-45.65965449999999,01/05/2016 de madrugada
-23.1855331,-45.86847909999999,17/05/2016 pela manhã
-23.0738279,-44.9551631,16/05/2016 a noite
-23.2012564,-45.8557864,18/05/2016 pela manhã
-23.1893913,-45.8741403,25/05/2016 a tarde
-22.7694163,-45.20727840000001,23/05/2016 a tarde
-22.926431,-45.4633622,24/05/2016 pela manhã
-23.1740283,-45.8472411,02/05/2016 de madrugada
-23.1736872,-45.8489628,02/05/2016 de madrugada
-23.1640462,-45.902586,05/05/2016 pela manhã
-23.1640462,-45.902586,05/05/2016 pela manhã
-22.6650996,-45.0116583,06/05/2016 de madrugada
-22.6686368,-45.01306779999999,06/05/2016 pela manhã
-23.1531005,-45.9157325,11/05/2016 pela manhã
-22.6702046,-44.998344,06/05/2016 a tarde
-23.1610123,-45.91601319999999,11/05/2016 pela manhã
-23.1114937,-45.9144644,12/05/2016 pela manhã
-23.1770157,-45.8733021,09/05/2016 pela manhã
-23.1605066,-45.8996688,16/05/2016 pela manhã
-23.2009345,-45.85962929999999,12/05/2016 de madrugada
-23.1733198,-45.8797071,18/05/2016 a tarde
-22.5789925,-44.9589365,01/05/2016 pela manhã
-23.2970616,-45.9826559,13/05/2016 a tarde
-23.2145211,-46.0048871,25/05/2016 a tarde
-23.1593206,-45.89362140000001,30/05/2016 a noite
-22.5800752,-44.9751351,14/05/2016 a noite
-23.3128123,-46.0101772,24/05/2016 em hora incerta
-22.5725033,-44.956196,20/05/2016 a tarde
-22.5864591,-44.9700666,22/05/2016 a noite
-22.8183172,-45.1963657,07/05/2016 a tarde
-22.6650996,-45.0116583,16/05/2016 a noite
-23.0446812,-45.562047,06/05/2016 de madrugada
-22.8328357,-45.2173204,25/05/2016 de madrugada
-22.8150148,-45.1971877,26/05/2016 a noite
-23.0279854,-45.57998449999999,11/05/2016 pela manhã
-22.8160447,-45.1853372,29/05/2016 a tarde
-22.9906911,-45.5606157,05/05/2016 de madrugada
-22.8065216,-45.1808948,29/05/2016 de madrugada
-22.9576323,-45.5479616,05/05/2016 a noite
-22.9687936,-45.5565341,06/05/2016 pela manhã
-23.0270838,-45.5319825,20/05/2016 pela manhã
-23.2927243,-45.9658843,03/05/2016 em hora incerta
-23.2986893,-45.9737433,04/05/2016 de madrugada
-22.9878213,-45.5490182,17/05/2016 de madrugada
-23.015644,-45.5784946,05/05/2016 de madrugada
-23.0237975,-45.5539988,05/05/2016 a tarde
-23.0368426,-45.6186081,04/05/2016 pela manhã
-23.0238296,-45.5511775,04/05/2016 pela manhã
-23.0391728,-45.5745618,04/05/2016 pela manhã
-22.9988346,-45.5503112,10/05/2016 pela manhã
-23.1230896,-45.7270281,05/05/2016 a tarde
-22.99727,-45.5305134,15/05/2016 de madrugada
-22.99727,-45.5305134,15/05/2016 de madrugada
